Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb
48709,50.74880395,64.91959929,69.71828212,11.25625538,10.47429373,7.535855551,12.52413404,10.90963815,17.01810527,1.103749598,22.13124615
48719,50.8382003,65.34410348,72.34750316,11.06566057,10.97708645,7.518675683,12.14978982,12.31268478,18.32360585,1.103668207,22.12487608
48729,50.91715879,65.30144701,72.44063791,11.14722765,11.30616955,7.501036011,13.39668863,11.04388612,18.04562995,1.103645228,22.13428677
48739,50.98939397,64.98072863,69.59766446,11.36111673,11.06837236,7.109922301,12.75415394,11.05319201,16.25090712,1.103626308,22.13269867
48749,51.08140563,65.45456253,72.64062107,11.67044762,11.02384589,7.637435428,12.36199875,11.88424431,18.06264907,1.103597476,22.14402485
48759,51.13326378,65.68392255,71.37817507,11.13656886,10.97638214,7.422252458,12.46619432,10.78114666,18.59563062,1.103577289,22.15156736
48769,51.20425591,65.35863496,70.85281141,11.47352165,10.96749346,7.39438624,12.30059199,11.88350747,16.8333106,1.103548468,22.13868527
48779,51.27752299,65.54156388,70.75400281,11.63607593,10.98825773,7.613598624,12.01250725,11.29668385,17.20687943,1.103564463,22.12981359
48789,51.3347808,65.69878048,71.70746787,11.357102,10.97471927,7.663891482,12.75738385,11.26091234,17.69345893,1.103583799,22.05335643
48799,51.39314078,65.76462135,72.01258488,11.84960343,11.15701356,6.984607534,12.72006872,11.69649537,17.60479626,1.103571866,22.08337263
48809,51.43402614,65.53439869,68.66319875,10.78430775,9.410911436,7.566691735,12.93249878,11.74708388,16.22170517,1.103542961,22.09073348
48819,51.47980698,66.10741977,70.11243108,11.87338768,8.390651826,7.123397478,12.70786809,11.38556903,18.63155698,1.103563448,22.12940532
48829,51.53470477,66.04558144,69.09106691,11.51763155,8.110883383,7.523455021,12.23350472,11.6796943,18.02589793,1.103552222,22.12299528
48839,51.57485265,65.73241034,66.47088562,11.00560164,7.943854803,7.387973068,11.88304049,11.82993798,16.42047764,1.10358963,22.11628957
48849,51.60592338,66.05658039,68.64941171,11.47449846,7.836387852,7.369593413,12.74915437,11.51761958,17.70215804,1.103595273,22.1254359
48859,51.64581015,66.20369829,70.11286022,11.28524942,7.837193258,7.723364504,13.40287119,11.96123212,17.90294973,1.103603696,22.12489383
48869,51.70362822,66.58861662,69.95595514,11.12400086,7.84904842,7.479392505,12.67280555,11.80973026,19.02097755,1.103631313,22.14492039
48879,51.72637845,66.39795838,70.10926125,12.16120846,7.789113846,7.381064878,12.75305877,11.85873899,18.16607632,1.103628233,22.13721231
48889,51.75876755,66.39600668,67.30048684,11.11532954,7.59865281,7.423792062,12.30417438,11.20165244,17.65688561,1.081591231,22.24304801
48899,51.80277679,66.46071352,68.06166463,11.21789634,7.862743189,7.629554777,12.63255043,10.65079019,18.0681297,1.103670685,22.23203078
48909,51.8348135,66.61406719,69.81352631,11.37124455,7.809839201,7.385724006,12.658515,11.85328203,18.73492152,1.103678652,22.20616058
48919,51.86359638,66.44333446,69.83537194,11.44787104,9.391983192,7.779690096,12.16526512,11.39984622,17.65071628,1.103664786,22.17287776
48929,51.89300178,66.34985096,69.46413199,10.97800035,10.06571505,7.459384063,12.49473054,11.30920052,17.15710145,1.103697535,22.17832785
48939,51.92337394,66.33263061,69.6460342,11.36006973,10.1016379,7.495502817,12.36785983,11.37619083,16.9447731,1.10368655,22.21168193
48949,51.93960209,66.33528426,70.01810105,11.64551349,10.02952895,7.527554977,12.51613529,11.203631,17.09573735,1.103670614,22.19181726
48959,51.96630408,66.4945834,71.47754102,11.52008975,9.86669446,7.687372042,12.83221821,11.61634801,17.95481854,1.103701639,22.20299936
48969,51.97509764,66.49514669,70.85549377,11.29229259,10.13707424,7.607609641,12.47696114,11.63856882,17.70298734,1.103731781,22.22322466
48979,51.99556655,66.1453659,68.67651413,11.40515787,10.12667526,7.463903282,12.08804912,11.37426595,16.21846264,1.10373424,22.26331012
48989,51.99621088,66.50909479,70.95950067,11.53541705,9.973062061,7.555084747,12.55889048,11.55913677,17.77790956,1.103761304,22.25561934
48999,52.01063412,66.38332646,70.67180369,11.31320789,10.18957061,7.710794289,12.64387247,11.66616186,17.14819658,1.103781934,22.29239045
49009,52.02384617,66.46907868,70.8146487,11.81054798,10.20598165,7.543223941,12.16875521,11.46679921,17.61934071,1.103807702,22.33712313
49019,52.03485767,66.58503207,71.56900671,11.38587275,10.12203683,7.758615576,12.74730464,11.34085462,18.21432229,1.103834047,22.35242273
49029,52.03191449,66.41844173,70.42637479,11.37745161,10.29929834,7.606073667,12.59194791,11.49432413,17.05727913,1.103858644,22.37862395
49039,52.04416834,66.50118119,70.17433064,11.54396938,10.24163154,7.538327978,12.54136771,10.87075634,17.4382777,1.103872149,22.39519495
49049,52.03338749,66.24112486,69.71929443,12.06610653,10.03554032,7.605268407,12.40762577,11.22915584,16.37559757,1.103899703,22.41832065
49059,52.03585045,66.47164429,70.64322954,11.79278269,10.23792504,7.708451395,12.34181847,11.50153266,17.06071928,1.103913837,22.41243342
49069,52.05649315,66.51131385,69.68243098,11.16973736,10.29445323,7.336199145,12.21243476,11.58406121,17.08554529,1.103907723,22.41071895
49079,52.05675318,66.55923109,75.81974694,13.13962696,10.97341194,7.25533896,14.0280234,13.0923963,17.33094938,1.103938358,22.38480467
49089,52.07007025,67.094118,77.63277473,14.30117002,12.71573544,5.233393746,15.47692399,13.68635512,16.21919641,1.103917202,22.31838011
49099,52.07850439,67.69779389,81.71531745,15.68890449,13.97206579,4.764128097,16.70563638,14.77055784,15.81402486,1.103909613,22.27154667
49109,52.07404476,68.49069002,83.7685763,16.16735199,14.8910737,4.741076922,17.48554042,13.82430375,16.65922951,1.103936075,22.24620484
49119,52.07689855,68.53233803,82.61546695,15.46916377,14.15135303,6.364237689,16.41818946,15.07421611,15.13830688,1.103930835,22.2418497
49129,52.06888083,69.10788968,81.08085963,14.51299533,13.62719122,7.429182212,14.51226447,13.81238916,17.18683724,1.103953183,22.22093124
49139,52.06822951,69.0639892,79.56577424,13.60903517,12.35956943,8.480984799,14.04226725,12.94182534,18.13209224,1.103957018,22.1912694
49149,52.08265434,68.2695635,76.41402875,13.56459721,12.46100303,8.243962969,14.22588124,13.28843728,14.63014703,1.103958334,22.14960223
49159,52.07724926,67.87055234,75.91113646,12.62755624,12.05526964,8.943041417,13.96729386,13.50743949,14.81053582,1.103973348,22.15137482
49169,52.08414132,67.43025934,73.28365156,11.69003727,11.81991677,8.941534504,14.1566322,12.8376926,13.83783823,1.103995778,22.20696509
49179,52.06832263,67.10572887,72.76046533,12.7234942,11.36752593,8.929097264,13.26852549,13.10264886,13.36917358,1.104018506,22.2502777
49189,52.0571527,66.69617095,70.87846924,11.80289711,11.18777083,8.590817512,13.65850626,13.00527315,12.63320437,1.104012709,22.28128149
49199,52.0631021,66.93072833,71.34568845,11.86541143,11.16515887,8.699745548,13.31846473,12.09890511,14.19800276,1.10398944,22.29481218
49209,52.05176758,66.36350932,69.17071376,11.8188549,11.14468169,8.295278971,13.07643182,12.4599472,12.37551917,1.104030947,22.27202385
49219,52.04913689,66.37710006,70.1905213,12.04305452,11.0064301,8.273247106,13.85791474,12.30234044,12.7075344,1.104033804,22.28911742
49229,52.04382067,66.12225533,69.72861763,11.96302908,10.92484101,8.254327684,13.76764767,12.80192718,12.01684501,1.104035603,22.29824471
49239,52.05365348,66.26856977,69.18572113,11.66341564,11.02909994,8.07341043,13.20160268,12.49165488,12.72653757,1.104027175,22.26540757
49249,52.03788575,66.11601632,69.71546333,12.24124109,11.06029729,8.126613703,13.79225512,12.27054864,12.22450748,1.104053749,22.25873509
49259,52.0449888,65.98981388,67.84622872,12.1153787,11.00795901,7.976084963,12.9637883,12.07322772,11.70979003,1.104054299,22.27747046
49269,52.04486908,66.26403705,67.66470577,11.46987946,10.91291837,8.374686164,12.3209029,11.41466709,13.17165179,1.104046244,22.21994478
49279,52.03458672,66.02375105,69.09499009,11.86114183,10.97823498,8.705593749,12.74925262,12.55093116,12.24983575,1.104050692,22.20228676
49289,52.03802019,65.72683941,67.30183044,12.01564234,11.10092559,8.061879891,13.06993589,12.27909812,10.77434862,1.104063962,22.17550512
49299,52.03416488,65.81442141,67.97204912,11.82980133,10.96552755,8.113652432,13.23371332,12.44474266,11.38461181,1.104063311,22.18210792
49309,52.03762857,66.00701509,68.83610733,11.94396474,11.05743547,8.236838117,13.22659961,12.13096232,12.24030708,1.104027746,22.1732692
49319,52.04229319,66.17374383,68.24992641,11.8507153,10.79128856,8.09302151,13.04254689,11.4327195,13.03963464,1.104018195,22.15086155
49329,52.03646852,66.09419618,67.97244644,11.76649221,10.90760955,8.319478351,12.31958364,11.85341153,12.80587115,1.104002681,22.15647261
