Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate
53078,57.95113579,66.02897304,57.78993658,10.67171141,8.556315868,6.51819359,11.40188432,10.18207513,10.45975627,1.587086421
53088,57.92612149,66.01839532,57.67536521,10.02168784,8.347778076,6.690535772,11.22560791,10.58139206,10.80836355,1.587135744
53098,57.89175183,65.8179238,57.99161079,10.24713651,9.070745815,6.946970646,10.91904071,11.01131227,9.796404836,1.58720096
53108,57.87421114,65.91820695,58.26718441,10.65000732,8.792821268,6.783436496,11.09001917,10.78721273,10.16368743,1.587265334
53118,57.85148195,65.8582541,57.86943417,10.63111217,8.681394878,6.634312263,11.44894292,10.46032449,10.01334744,1.587319176
53128,57.82037358,65.7998531,57.5344051,10.66207357,8.458345113,6.602569718,11.20305129,10.67440516,9.933960248,1.587361288
53138,57.80243503,65.78749119,56.69700176,10.36624193,8.349964454,6.934274935,10.79066081,10.49532252,9.760537106,1.587420251
53148,57.78455009,65.75905293,56.73249621,9.895291656,8.437105639,6.865058035,11.24825417,10.68948205,9.59730467,1.587484448
53158,57.75126266,65.91229145,57.60054272,10.17466556,8.827096725,6.569841439,11.17489255,10.32518316,10.52886329,1.587557753
53168,57.74874888,65.88470193,57.86385818,10.40658555,8.594096731,6.483127156,11.25479619,10.50055812,10.62469443,1.58762476
53178,57.72362983,65.81465247,57.66677288,10.23609111,8.87226755,6.901639493,11.17238836,10.08955656,10.39482982,1.587656725
53188,57.69670556,65.7023982,56.0868036,10.78721246,8.488869142,6.27791731,10.59254901,10.38097228,9.5592834,1.587738703
53198,57.66728306,65.7311055,57.405581,10.50973139,8.770384437,6.980665619,10.8637056,10.31342539,9.967668571,1.587820553
53208,57.64696893,65.86927096,58.24843456,10.23016345,8.438727658,6.718527834,11.54563988,10.56384916,10.75152658,1.58784212
53218,57.62283495,65.80003015,58.32284756,10.67348237,9.421098247,6.423170905,10.79303351,10.60599676,10.40606577,1.587885557
53228,57.60294742,65.7121584,56.33883923,9.596960912,8.482612679,6.595764585,11.27128434,10.38496897,10.00724775,1.587944621
53238,57.57163123,65.77833492,57.00060782,9.916442486,8.436541202,6.646624011,10.75606762,10.71666534,10.52826716,1.587992624
53248,57.54695841,65.81872528,58.31259948,10.89351964,8.693145732,6.877013253,10.7256783,10.59797871,10.52526384,1.58802049
53258,57.53606685,65.83770338,59.09716616,10.33229601,8.748161668,6.868274645,11.31489898,11.04066744,10.79286742,1.588038696
53268,57.51325009,65.86303401,58.67188681,10.14240341,8.996016436,6.596074207,11.48442442,10.67170694,10.78126139,1.588058483
53278,57.49884239,65.64066235,58.09264381,10.57615757,9.034028368,7.155431558,11.2183992,10.38429048,9.724336645,1.588109739
53288,57.47234447,65.72308531,57.90418874,10.87081317,8.647512781,6.709484059,11.10007412,10.23831329,10.33799131,1.588157483
53298,57.45603555,65.84144417,58.88645265,10.88487295,8.738759742,7.091983489,10.93211137,10.08058363,11.15814146,1.588169089
53308,57.44402529,65.91234873,58.89689977,10.37875588,9.053249243,6.881904056,10.8365842,10.30487256,11.44153383,1.588180603
53318,57.42429803,65.75945913,58.66385482,10.10983137,9.034334182,6.813766004,11.12304923,11.14836931,10.43450473,1.588168005
53328,57.4180085,65.69899346,58.37904228,10.33738549,8.341481654,6.977356623,11.21688922,11.2219903,10.28393899,1.58814119
53338,57.41325898,65.72103465,60.13621317,10.77312703,9.220773682,7.384175337,11.36869227,11.13916606,10.25027879,1.588115224
53348,57.40681052,65.7511566,57.99305915,10.02256874,8.816425226,6.638058944,11.40475343,10.27077852,10.84047428,1.588111225
53358,57.39268324,65.75332315,58.76644334,10.57443691,8.627852863,6.792930052,11.36825654,10.86958644,10.53338054,1.588088356
