Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.55544,58.85196525,64.98645253,62.29664777,10.67391707,9.206932169,5.142322957,12.05859321,16.97880872,8.236073641
42046.55556,58.8959074,65.15039265,62.33828409,10.5352303,9.218089891,4.979670698,11.68684016,16.75395536,9.164497687
42046.55568,58.92002429,65.09088225,62.02691304,10.54306317,9.963754931,4.853379008,11.50491512,17.05892913,8.102871689
42046.55579,58.93743034,65.09144522,62.05431511,10.55935051,9.409395264,5.19989869,11.71579864,17.05226368,8.117608328
42046.55591,58.96757016,65.13048057,61.5466229,11.01192368,8.452484814,4.897783337,11.78100604,17.47075661,7.932668429
42046.55602,59.00040954,65.16302327,61.12324777,10.68585284,8.909714491,5.245697933,11.12019753,16.94936233,8.212422647
42046.55614,59.00759988,65.24279055,62.35322449,10.66121246,9.16305314,5.029375361,11.86974436,16.60554769,9.024291483
42046.55625,59.06280513,65.30078572,62.25334619,11.23548025,8.247990417,4.947839846,11.72876905,17.31724462,8.776022004
42046.55637,59.08248063,65.22810991,60.57380378,10.7873105,9.307177473,4.777992811,11.18263451,16.37974137,8.138947109
42046.55649,59.12482084,65.28917754,63.0821556,11.23322499,9.11127936,5.022132866,11.89234043,17.4227992,8.400378759
42046.5566,59.11354734,65.35320793,63.45478974,11.00731322,9.927546314,4.852552422,11.8713812,17.2458433,8.550153285
42046.55672,59.157477,65.41698021,62.88847913,10.5367045,9.628036182,4.75304081,12.02599103,17.3924814,8.55222521
42046.55683,59.22541064,65.48566042,63.45952452,11.0016728,9.140420401,5.770720603,12.02119884,16.4323668,9.093145077
42046.55695,59.22824871,65.50999955,62.31915845,11.05268146,9.435722347,4.834686739,12.23209069,16.21030748,8.553669732
42046.55707,59.25590472,65.39152302,62.26742957,11.0784282,8.666990977,4.873302775,12.0799804,17.40474217,8.163985051
42046.55718,59.26568713,65.41383056,60.87159789,10.53094123,9.266850083,4.907728072,11.28977853,16.85329191,8.023008061
42046.5573,59.30790379,65.45976483,62.11527037,10.72356673,9.00339955,5.11570782,11.88072534,17.21391054,8.177960376
42046.55741,59.30731967,65.47665679,62.43832301,10.9271273,9.74564742,5.034629768,11.61957608,17.40228798,7.709054465
42046.55753,59.32192408,65.49929495,61.0833331,10.73507249,9.361327866,5.241381539,11.48135515,16.43261836,7.831577691
42046.55764,59.34382741,65.66811389,62.63858908,10.89135751,9.833279659,4.723777392,11.55116063,16.79727243,8.841741449
42046.55776,59.33931555,65.50387899,62.08789413,11.06512025,9.332352121,4.989149498,12.11023663,16.64596493,7.945070709
42046.55787,59.35526097,65.60402566,62.54911698,11.30420612,9.4653793,5.048876256,11.75889803,16.70520884,8.266548428
42046.55799,59.36342334,65.58976748,61.43705936,11.21242254,9.725969303,4.718824414,11.71946906,16.47688861,7.583485441
42046.55811,59.37608769,65.69447896,63.46591389,11.21866529,9.662519615,5.063492705,11.96617769,17.10954057,8.445518024
42046.55822,59.40707645,65.74130555,62.07153419,10.76790557,9.080061154,4.826251765,11.62074046,17.2193841,8.557191146
42046.55834,59.41241822,65.7840468,63.67199249,11.23314554,9.544718336,5.235440811,11.96222985,16.76518505,8.931272898
42046.55845,59.42258649,65.7117536,63.19141341,11.18120387,9.088618727,5.57408868,11.67707723,17.40846068,8.261964225
42046.55857,59.43027533,65.83994745,63.27009083,11.1221505,9.44370151,5.197686283,12.01237312,16.41224649,9.081932937
